locus	primary_accession	accession_version	isolate
QHZ00390	QHZ00390	QHZ00390.1	2019-nCoV/USA-WI1/2020
QHZ00389	QHZ00389	QHZ00389.1	2019-nCoV/USA-WI1/2020
QHZ00388	QHZ00388	QHZ00388.1	2019-nCoV/USA-WI1/2020
QHZ00387	QHZ00387	QHZ00387.1	SNU01
QHZ00386	QHZ00386	QHZ00386.1	SNU01
QHZ00385	QHZ00385	QHZ00385.1	SNU01
QHZ00384	QHZ00384	QHZ00384.1	SNU01
QHZ00383	QHZ00383	QHZ00383.1	SNU01
QHZ00382	QHZ00382	QHZ00382.1	SNU01
QHZ00381	QHZ00381	QHZ00381.1	SNU01
QHZ00380	QHZ00380	QHZ00380.1	SNU01
QHZ00379	QHZ00379	QHZ00379.1	SNU01
QHZ00378	QHZ00378	QHZ00378.1	SNU01
QHZ00366	QHZ00366	QHZ00366.1	HZ-1
QHZ00365	QHZ00365	QHZ00365.1	HZ-1
QHZ00364	QHZ00364	QHZ00364.1	HZ-1
QHZ00363	QHZ00363	QHZ00363.1	HZ-1
QHZ00362	QHZ00362	QHZ00362.1	HZ-1
QHZ00361	QHZ00361	QHZ00361.1	HZ-1
QHZ00360	QHZ00360	QHZ00360.1	HZ-1
QHZ00359	QHZ00359	QHZ00359.1	HZ-1
QHZ00358	QHZ00358	QHZ00358.1	HZ-1
QHZ00357	QHZ00357	QHZ00357.1	HZ-1
QHR63290	QHR63290	QHR63290.2	WIV07
QHR63280	QHR63280	QHR63280.2	WIV06
QHR63270	QHR63270	QHR63270.2	WIV05
QHR63260	QHR63260	QHR63260.2	WIV04
QHR63250	QHR63250	QHR63250.2	WIV02
BBZ90167	BBZ90167	BBZ90167.1	2019-nCoV_PH_nCOV_20_026
QHW06067	QHW06067	QHW06067.1	2019-nCoV/USA-CA5/2020
QHW06066	QHW06066	QHW06066.1	2019-nCoV/USA-CA5/2020
QHW06065	QHW06065	QHW06065.1	2019-nCoV/USA-CA5/2020
QHW06064	QHW06064	QHW06064.1	2019-nCoV/USA-CA5/2020
QHW06063	QHW06063	QHW06063.1	2019-nCoV/USA-CA5/2020
QHW06062	QHW06062	QHW06062.1	2019-nCoV/USA-CA5/2020
QHW06061	QHW06061	QHW06061.1	2019-nCoV/USA-CA5/2020
QHW06060	QHW06060	QHW06060.1	2019-nCoV/USA-CA5/2020
QHW06059	QHW06059	QHW06059.1	2019-nCoV/USA-CA5/2020
QHW06058	QHW06058	QHW06058.1	2019-nCoV/USA-CA5/2020
QHW06057	QHW06057	QHW06057.1	2019-nCoV/USA-CA4/2020
QHW06056	QHW06056	QHW06056.1	2019-nCoV/USA-CA4/2020
QHW06055	QHW06055	QHW06055.1	2019-nCoV/USA-CA4/2020
QHW06054	QHW06054	QHW06054.1	2019-nCoV/USA-CA4/2020
QHW06053	QHW06053	QHW06053.1	2019-nCoV/USA-CA4/2020
QHW06052	QHW06052	QHW06052.1	2019-nCoV/USA-CA4/2020
QHW06051	QHW06051	QHW06051.1	2019-nCoV/USA-CA4/2020
QHW06050	QHW06050	QHW06050.1	2019-nCoV/USA-CA4/2020
QHW06049	QHW06049	QHW06049.1	2019-nCoV/USA-CA4/2020
QHW06048	QHW06048	QHW06048.1	2019-nCoV/USA-CA4/2020
QHW06047	QHW06047	QHW06047.1	2019-nCoV/USA-CA3/2020
QHW06046	QHW06046	QHW06046.1	2019-nCoV/USA-CA3/2020
QHW06045	QHW06045	QHW06045.1	2019-nCoV/USA-CA3/2020
QHW06044	QHW06044	QHW06044.1	2019-nCoV/USA-CA3/2020
QHW06043	QHW06043	QHW06043.1	2019-nCoV/USA-CA3/2020
QHW06042	QHW06042	QHW06042.1	2019-nCoV/USA-CA3/2020
QHW06041	QHW06041	QHW06041.1	2019-nCoV/USA-CA3/2020
QHW06040	QHW06040	QHW06040.1	2019-nCoV/USA-CA3/2020
QHW06039	QHW06039	QHW06039.1	2019-nCoV/USA-CA3/2020
QHW06038	QHW06038	QHW06038.1	2019-nCoV/USA-CA3/2020
BBW89525	BBW89525	BBW89525.1	
BBW89524	BBW89524	BBW89524.1	
BBW89523	BBW89523	BBW89523.1	
BBW89522	BBW89522	BBW89522.1	
BBW89521	BBW89521	BBW89521.1	
BBW89520	BBW89520	BBW89520.1	
BBW89519	BBW89519	BBW89519.1	
BBW89518	BBW89518	BBW89518.1	
BBW89517	BBW89517	BBW89517.1	
BBW89516	BBW89516	BBW89516.1	
QHU79212	QHU79212	QHU79212.1	2019-nCoV/USA-WA1-F6/2020
QHU79211	QHU79211	QHU79211.1	2019-nCoV/USA-WA1-F6/2020
QHU79210	QHU79210	QHU79210.1	2019-nCoV/USA-WA1-F6/2020
QHU79209	QHU79209	QHU79209.1	2019-nCoV/USA-WA1-F6/2020
QHU79208	QHU79208	QHU79208.1	2019-nCoV/USA-WA1-F6/2020
QHU79207	QHU79207	QHU79207.1	2019-nCoV/USA-WA1-F6/2020
